"행정구역(시군구)별","성별","연령별","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년","2025 년",
"서울특별시","남자","계","순이동[명]","명","-74154","-74941","-55418","-62557","-33562","-41379","-58722","-22207","-20920","-26467","-18077",
"서울특별시","남자","0 - 4세","순이동[명]","명","-8122","-8615","-6960","-7929","-4995","-4627","-4745","-3570","-3393","-3352","-2577",
"서울특별시","남자","5 - 9세","순이동[명]","명","-3520","-3862","-2765","-3787","-1626","-2263","-2890","-1462","-721","-522","335",
"서울특별시","남자","10 - 14세","순이동[명]","명","-1369","-1721","-896","-1338","-346","-812","-1310","-204","-35","105","316",
"서울특별시","남자","15 - 19세","순이동[명]","명","-1147","-1294","-171","-312","653","-101","-689","1762","1624","1945","2182",
"서울특별시","남자","20 - 24세","순이동[명]","명","4270","5571","6552","6190","7932","6967","6794","11971","9980","8831","9021",
"서울특별시","남자","25 - 29세","순이동[명]","명","2277","3722","6041","7867","9622","8285","6329","11353","9963","6660","6095",
"서울특별시","남자","30 - 34세","순이동[명]","명","-12191","-11293","-7726","-7808","-4924","-4779","-9363","-5045","-4311","-5674","-4699",
"서울특별시","남자","35 - 39세","순이동[명]","명","-12528","-12772","-10814","-13621","-9655","-9412","-11363","-7671","-6590","-6471","-4245",
"서울특별시","남자","40 - 44세","순이동[명]","명","-8578","-8735","-7024","-8281","-5357","-6227","-7780","-5131","-4735","-4594","-2735",
"서울특별시","남자","45 - 49세","순이동[명]","명","-5861","-6663","-5589","-6365","-4621","-5092","-5932","-3676","-3023","-2987","-2189",
"서울특별시","남자","50 - 54세","순이동[명]","명","-5793","-6529","-5327","-5249","-4560","-5202","-6177","-4354","-3914","-4051","-3254",
"서울특별시","남자","55 - 59세","순이동[명]","명","-6445","-6873","-6016","-6481","-4778","-4894","-5999","-4458","-4235","-4111","-4050",
"서울특별시","남자","60 - 64세","순이동[명]","명","-5414","-5923","-5480","-5812","-4185","-4827","-6118","-4363","-4440","-4394","-4279",
"서울특별시","남자","65 - 69세","순이동[명]","명","-4408","-4598","-3913","-3950","-2846","-3227","-3896","-3242","-3120","-3464","-3415",
"서울특별시","남자","70 - 74세","순이동[명]","명","-3064","-2904","-2734","-2752","-1958","-2316","-2588","-1902","-1845","-1888","-2031",
"서울특별시","남자","75 - 79세","순이동[명]","명","-1517","-1636","-1677","-1756","-1089","-1660","-1566","-1039","-989","-1171","-1258",
"서울특별시","남자","80세이상","순이동[명]","명","-744","-816","-919","-1173","-829","-1192","-1429","-1176","-1136","-1329","-1294",
"서울특별시","남자","청년층(19-34세)","순이동[명]","명","-5723","-1942","5176","6474","13242","10933","4000","19506","16734","10925","11668",
"서울특별시","여자","계","순이동[명]","명","-63102","-65316","-43068","-47673","-16026","-23471","-47521","-13133","-10330","-18225","-8692",
"서울특별시","여자","0 - 4세","순이동[명]","명","-7934","-8432","-6698","-7813","-4994","-4371","-4526","-3432","-2917","-3358","-2407",
"서울특별시","여자","5 - 9세","순이동[명]","명","-3168","-3728","-2951","-3715","-1757","-2111","-2691","-1412","-612","-385","255",
"서울특별시","여자","10 - 14세","순이동[명]","명","-1409","-1594","-1056","-1670","-430","-669","-1467","-425","-156","-28","329",
"서울특별시","여자","15 - 19세","순이동[명]","명","1983","1858","2812","3223","4214","3537","2709","5865","5589","5953","6185",
"서울특별시","여자","20 - 24세","순이동[명]","명","10401","12009","14622","17791","20588","20868","18541","23408","19260","17493","16643",
"서울특별시","여자","25 - 29세","순이동[명]","명","842","1261","4740","7493","9424","8703","3856","6957","7002","3577","4178",
"서울특별시","여자","30 - 34세","순이동[명]","명","-13309","-12511","-8796","-9241","-5939","-6015","-10736","-7638","-6833","-7960","-6162",
"서울특별시","여자","35 - 39세","순이동[명]","명","-10369","-11120","-9529","-11851","-8023","-8577","-10364","-6976","-5755","-6119","-3624",
"서울특별시","여자","40 - 44세","순이동[명]","명","-5657","-6242","-4582","-6344","-3925","-4978","-6513","-4230","-3328","-2946","-1677",
"서울특별시","여자","45 - 49세","순이동[명]","명","-4730","-5625","-4445","-5469","-3982","-4755","-5555","-3278","-2613","-2337","-1890",
"서울특별시","여자","50 - 54세","순이동[명]","명","-5829","-5955","-5040","-5653","-4138","-5059","-6498","-4390","-3725","-3955","-3239",
"서울특별시","여자","55 - 59세","순이동[명]","명","-7395","-8034","-6418","-6928","-5032","-5256","-6064","-4322","-4056","-4590","-4039",
"서울특별시","여자","60 - 64세","순이동[명]","명","-5994","-6292","-5515","-5978","-3875","-4923","-6145","-4245","-3949","-3954","-3791",
"서울특별시","여자","65 - 69세","순이동[명]","명","-4052","-4119","-3838","-3968","-2705","-3594","-4091","-2989","-2817","-3400","-3067",
"서울특별시","여자","70 - 74세","순이동[명]","명","-2957","-2845","-2560","-2709","-1893","-2394","-2675","-1812","-1615","-1872","-1921",
"서울특별시","여자","75 - 79세","순이동[명]","명","-1750","-1843","-1807","-2243","-1556","-1792","-2024","-1469","-1226","-1471","-1428",
"서울특별시","여자","80세이상","순이동[명]","명","-1775","-2104","-2007","-2598","-2003","-2085","-3278","-2745","-2579","-2873","-3037",
"서울특별시","여자","청년층(19-34세)","순이동[명]","명","-505","2492","12578","18467","26970","26295","14081","26692","23315","17085","18504",
"종로구","남자","계","순이동[명]","명","-1276","-1551","996","-1026","-940","-890","-1329","-857","-774","-451","-573",
"종로구","남자","0 - 4세","순이동[명]","명","-50","-58","62","-61","-95","-64","-89","-47","-28","-20","-34",
"종로구","남자","5 - 9세","순이동[명]","명","-4","-38","88","-19","-30","-40","-31","-34","-60","-31","-12",
"종로구","남자","10 - 14세","순이동[명]","명","-15","-61","8","27","4","-61","-31","-74","-32","-10","-48",
"종로구","남자","15 - 19세","순이동[명]","명","44","5","108","93","61","-5","0","46","37","67","87",
"종로구","남자","20 - 24세","순이동[명]","명","208","201","416","152","137","102","202","286","242","284","206",
"종로구","남자","25 - 29세","순이동[명]","명","-57","-157","15","-123","-105","36","-140","8","-7","30","3",
"종로구","남자","30 - 34세","순이동[명]","명","-321","-358","6","-241","-294","-247","-300","-254","-151","-133","-170",
"종로구","남자","35 - 39세","순이동[명]","명","-224","-237","94","-150","-181","-120","-114","-87","-138","-115","-131",
"종로구","남자","40 - 44세","순이동[명]","명","-76","-149","67","-111","-57","8","-91","-57","-76","-51","-43",
"종로구","남자","45 - 49세","순이동[명]","명","-140","-116","48","-94","-4","-15","-123","-84","-67","-64","-62",
"종로구","남자","50 - 54세","순이동[명]","명","-85","-114","111","-125","-14","-54","-79","-106","-92","-69","-52",
"종로구","남자","55 - 59세","순이동[명]","명","-156","-106","75","-112","-43","-74","-100","-113","-94","-65","-51",
"종로구","남자","60 - 64세","순이동[명]","명","-117","-86","-4","-69","-88","-106","-179","-83","-140","-85","-73",
"종로구","남자","65 - 69세","순이동[명]","명","-87","-122","-48","-49","-98","-95","-93","-107","-39","-70","-47",
"종로구","남자","70 - 74세","순이동[명]","명","-69","-81","-32","-41","-48","-46","-81","-68","-49","-50","-64",
"종로구","남자","75 - 79세","순이동[명]","명","-58","-41","-9","-56","-55","-67","-58","-30","-30","-24","-9",
"종로구","남자","80세이상","순이동[명]","명","-69","-33","-9","-47","-30","-42","-22","-53","-50","-45","-73",
"종로구","남자","청년층(19-34세)","순이동[명]","명","-100","-300","493","-172","-219","-65","-188","80","120","231","104",
"종로구","여자","계","순이동[명]","명","-1243","-1231","1210","-585","-734","-732","-895","-576","-689","-202","-243",
"종로구","여자","0 - 4세","순이동[명]","명","-38","-48","82","-26","-91","-90","-59","-48","-43","-23","-49",
"종로구","여자","5 - 9세","순이동[명]","명","8","20","82","-22","-30","-25","-32","-29","-3","-16","-17",
"종로구","여자","10 - 14세","순이동[명]","명","6","-5","81","28","36","31","-49","1","-13","-39","-33",
"종로구","여자","15 - 19세","순이동[명]","명","124","201","299","236","230","118","117","182","171","146","183",
"종로구","여자","20 - 24세","순이동[명]","명","89","201","210","135","245","181","240","335","280","300","358",
"종로구","여자","25 - 29세","순이동[명]","명","-123","-141","32","12","-151","22","48","55","-115","30","-63",
"종로구","여자","30 - 34세","순이동[명]","명","-174","-297","33","-166","-203","-230","-166","-160","-197","-135","-200",
"종로구","여자","35 - 39세","순이동[명]","명","-118","-124","124","-69","-143","-30","-151","-82","-120","-44","-43",
"종로구","여자","40 - 44세","순이동[명]","명","-138","-139","111","-22","-70","-56","-44","-68","-94","-13","-1",
"종로구","여자","45 - 49세","순이동[명]","명","-131","-128","87","-132","-46","-71","-129","-133","-33","-31","-7",
"종로구","여자","50 - 54세","순이동[명]","명","-137","-138","121","-80","-122","-62","-93","-118","-78","-92","-31",
"종로구","여자","55 - 59세","순이동[명]","명","-161","-169","9","-54","-55","-86","-126","-81","-98","-69","-68",
"종로구","여자","60 - 64세","순이동[명]","명","-112","-153","-5","-81","-83","-102","-131","-101","-70","-74","-53",
"종로구","여자","65 - 69세","순이동[명]","명","-111","-115","-19","-106","-74","-124","-108","-120","-55","-49","-79",
"종로구","여자","70 - 74세","순이동[명]","명","-63","-86","-24","-90","-52","-89","-78","-76","-72","-28","-27",
"종로구","여자","75 - 79세","순이동[명]","명","-64","-38","-15","-71","-49","-42","-44","-54","-55","-16","-21",
"종로구","여자","80세이상","순이동[명]","명","-100","-72","2","-77","-76","-77","-90","-79","-94","-49","-92",
"종로구","여자","청년층(19-34세)","순이동[명]","명","-110","-95","461","120","25","61","252","352","88","289","193",
"중구","남자","계","순이동[명]","명","-1556","-703","86","-265","-76","-654","-838","-356","351","-413","-1342",
"중구","남자","0 - 4세","순이동[명]","명","-220","-112","-35","-111","-95","-163","-129","-95","-77","-120","-170",
"중구","남자","5 - 9세","순이동[명]","명","-103","-86","-79","-100","-64","-119","-105","-70","-83","-82","-95",
"중구","남자","10 - 14세","순이동[명]","명","-76","-76","-43","-42","-27","-76","-79","-69","-39","-70","-43",
"중구","남자","15 - 19세","순이동[명]","명","-10","69","92","88","98","67","28","101","79","67","64",
"중구","남자","20 - 24세","순이동[명]","명","94","219","252","238","266","220","116","233","297","150","210",
"중구","남자","25 - 29세","순이동[명]","명","54","81","147","177","163","94","134","280","293","133","45",
"중구","남자","30 - 34세","순이동[명]","명","-118","-92","-8","64","45","-88","18","-34","227","65","-157",
"중구","남자","35 - 39세","순이동[명]","명","-201","-114","-31","-135","-149","-181","-161","-157","37","-83","-245",
"중구","남자","40 - 44세","순이동[명]","명","-234","-170","-120","-79","-91","-153","-205","-159","-30","-137","-217",
"중구","남자","45 - 49세","순이동[명]","명","-163","-63","2","-140","-103","-80","-51","-111","-47","-51","-105",
"중구","남자","50 - 54세","순이동[명]","명","-88","-19","80","30","8","32","-114","-56","-17","-25","-90",
"중구","남자","55 - 59세","순이동[명]","명","-140","-53","-48","-43","-28","-49","-68","-29","-52","-59","-150",
"중구","남자","60 - 64세","순이동[명]","명","-75","-106","6","-25","-70","-82","-102","-91","-102","-75","-142",
"중구","남자","65 - 69세","순이동[명]","명","-120","-69","-55","-72","-12","-64","-15","-62","-28","-45","-95",
"중구","남자","70 - 74세","순이동[명]","명","-75","-29","-23","-53","-5","-17","-51","-14","-59","-54","-60",
"중구","남자","75 - 79세","순이동[명]","명","-51","-72","-29","-24","-26","-1","-13","-20","-25","-19","-30",
"중구","남자","80세이상","순이동[명]","명","-30","-11","-22","-38","14","6","-41","-3","-23","-8","-62",
"중구","남자","청년층(19-34세)","순이동[명]","명","76","233","410","532","503","257","279","538","848","373","125",
"중구","여자","계","순이동[명]","명","-1316","-357","244","163","315","-302","-371","-371","875","-27","-1273",
"중구","여자","0 - 4세","순이동[명]","명","-176","-68","-52","-87","-146","-186","-149","-55","-71","-110","-132",
"중구","여자","5 - 9세","순이동[명]","명","-78","-62","-63","-91","-74","-139","-117","-71","-68","-77","-102",
"중구","여자","10 - 14세","순이동[명]","명","-95","-82","-60","-70","-71","-75","-48","-67","-47","-79","-77",
"중구","여자","15 - 19세","순이동[명]","명","98","154","148","133","150","189","143","168","163","164","194",
"중구","여자","20 - 24세","순이동[명]","명","118","259","292","349","367","332","445","309","348","305","197",
"중구","여자","25 - 29세","순이동[명]","명","10","123","151","264","216","237","333","89","494","231","39",
"중구","여자","30 - 34세","순이동[명]","명","-128","13","51","124","71","-20","-134","-125","233","24","-257",
"중구","여자","35 - 39세","순이동[명]","명","-161","-132","-45","-91","-99","-265","-210","-168","-10","-43","-265",
"중구","여자","40 - 44세","순이동[명]","명","-156","-89","-60","-123","-86","-206","-118","-104","-59","-115","-127",
"중구","여자","45 - 49세","순이동[명]","명","-75","-35","75","19","9","-18","-51","-75","28","-9","-91",
"중구","여자","50 - 54세","순이동[명]","명","-84","23","62","6","61","13","-118","-28","55","-68","-52",
"중구","여자","55 - 59세","순이동[명]","명","-153","-110","-30","-36","-59","-20","-112","-79","-65","-33","-153",
"중구","여자","60 - 64세","순이동[명]","명","-134","-92","-58","-44","-48","-94","-58","-88","-16","-88","-114",
"중구","여자","65 - 69세","순이동[명]","명","-87","-76","-39","-68","10","-33","-48","-44","-47","-13","-88",
"중구","여자","70 - 74세","순이동[명]","명","-91","-66","-43","-13","1","-7","-50","-17","-20","-31","-57",
"중구","여자","75 - 79세","순이동[명]","명","-59","-50","-29","-55","4","-11","-31","-12","1","-26","-62",
"중구","여자","80세이상","순이동[명]","명","-65","-67","-56","-54","9","1","-48","-4","-44","-59","-126",
"중구","여자","청년층(19-34세)","순이동[명]","명","35","465","546","790","723","637","724","371","1166","654","93",
"용산구","남자","계","순이동[명]","명","-2135","-2138","-753","-317","-342","361","-2054","-712","-2566","-4567","-1320",
"용산구","남자","0 - 4세","순이동[명]","명","-278","-252","-282","-139","-135","-146","-207","-181","-218","-149","-150",
"용산구","남자","5 - 9세","순이동[명]","명","-139","-106","-160","-146","-160","-86","-216","-85","-168","-204","-112",
"용산구","남자","10 - 14세","순이동[명]","명","-41","-68","-42","-126","-14","-61","-137","-51","-102","-84","-23",
"용산구","남자","15 - 19세","순이동[명]","명","2","-69","-14","83","107","118","-37","53","0","-57","-14",
"용산구","남자","20 - 24세","순이동[명]","명","213","193","260","235","252","336","135","149","82","-114","146",
"용산구","남자","25 - 29세","순이동[명]","명","160","278","570","642","574","614","532","640","283","159","315",
"용산구","남자","30 - 34세","순이동[명]","명","-293","-144","168","47","-32","82","-149","50","-217","-481","-54",
"용산구","남자","35 - 39세","순이동[명]","명","-376","-389","-198","-122","-204","-76","-293","-156","-379","-528","-194",
"용산구","남자","40 - 44세","순이동[명]","명","-332","-335","-196","-169","-102","-99","-395","-176","-363","-550","-206",
"용산구","남자","45 - 49세","순이동[명]","명","-266","-308","-217","-218","-128","-118","-268","-221","-224","-403","-188",
"용산구","남자","50 - 54세","순이동[명]","명","-90","-192","-78","-38","-28","111","-180","-154","-315","-478","-57",
"용산구","남자","55 - 59세","순이동[명]","명","-212","-174","-83","25","-26","55","-196","-141","-252","-354","-168",
"용산구","남자","60 - 64세","순이동[명]","명","-125","-123","-145","-62","-133","-33","-217","-124","-218","-350","-159",
"용산구","남자","65 - 69세","순이동[명]","명","-102","-171","-105","-99","-116","-73","-150","-107","-179","-372","-143",
"용산구","남자","70 - 74세","순이동[명]","명","-121","-147","-66","-93","-86","-99","-110","-105","-112","-241","-100",
"용산구","남자","75 - 79세","순이동[명]","명","-74","-90","-79","-93","-62","-89","-86","-50","-89","-167","-89",
"용산구","남자","80세이상","순이동[명]","명","-61","-41","-86","-44","-49","-75","-80","-53","-95","-194","-124",
"용산구","남자","청년층(19-34세)","순이동[명]","명","91","326","1014","939","838","1082","535","870","188","-441","421",
"용산구","여자","계","순이동[명]","명","-2162","-2353","-715","-145","-232","936","-1507","-567","-2665","-4337","-594",
"용산구","여자","0 - 4세","순이동[명]","명","-302","-348","-246","-148","-128","-69","-161","-136","-187","-226","-134",
"용산구","여자","5 - 9세","순이동[명]","명","-138","-207","-168","-161","-102","-76","-150","-91","-146","-148","-62",
"용산구","여자","10 - 14세","순이동[명]","명","-96","-88","-105","-83","-66","-95","-113","-116","-163","-124","-24",
"용산구","여자","15 - 19세","순이동[명]","명","103","61","124","187","160","247","57","163","160","69","150",
"용산구","여자","20 - 24세","순이동[명]","명","321","349","367","617","569","637","454","543","233","164","489",
"용산구","여자","25 - 29세","순이동[명]","명","161","148","625","535","386","578","624","519","273","59","394",
"용산구","여자","30 - 34세","순이동[명]","명","-332","-178","21","76","25","174","-16","51","-405","-340","63",
"용산구","여자","35 - 39세","순이동[명]","명","-427","-335","-250","-237","-167","-85","-298","-191","-470","-423","-225",
"용산구","여자","40 - 44세","순이동[명]","명","-313","-249","-204","-198","-143","-92","-382","-245","-342","-516","-162",
"용산구","여자","45 - 49세","순이동[명]","명","-111","-160","-131","19","-87","16","-179","-146","-236","-331","-66",
"용산구","여자","50 - 54세","순이동[명]","명","-133","-246","-99","-43","27","118","-237","-149","-229","-335","-142",
"용산구","여자","55 - 59세","순이동[명]","명","-202","-300","-36","-56","-133","65","-213","-90","-263","-445","-97",
"용산구","여자","60 - 64세","순이동[명]","명","-181","-197","-160","-130","-146","-48","-223","-161","-227","-417","-138",
"용산구","여자","65 - 69세","순이동[명]","명","-157","-221","-140","-167","-142","-137","-184","-128","-218","-381","-204",
"용산구","여자","70 - 74세","순이동[명]","명","-148","-185","-121","-130","-86","-67","-172","-126","-123","-306","-141",
"용산구","여자","75 - 79세","순이동[명]","명","-114","-104","-95","-98","-97","-108","-144","-77","-129","-237","-82",
"용산구","여자","80세이상","순이동[명]","명","-93","-93","-97","-128","-102","-122","-170","-187","-193","-400","-213",
"용산구","여자","청년층(19-34세)","순이동[명]","명","254","365","1093","1355","1079","1540","1122","1228","232","-6","1072",
"성동구","남자","계","순이동[명]","명","-634","71","1566","540","-4420","-4124","-3403","-2248","-1992","-2089","-16",
"성동구","남자","0 - 4세","순이동[명]","명","-156","-102","-70","-161","-420","-419","-308","-215","-283","-205","-112",
"성동구","남자","5 - 9세","순이동[명]","명","-191","-149","-117","-212","-317","-427","-329","-216","-290","-245","-161",
"성동구","남자","10 - 14세","순이동[명]","명","-182","-108","-100","-81","-239","-278","-135","-170","-224","-206","-118",
"성동구","남자","15 - 19세","순이동[명]","명","225","185","321","314","158","145","107","187","177","240","222",
"성동구","남자","20 - 24세","순이동[명]","명","582","566","820","671","402","308","376","646","482","375","546",
"성동구","남자","25 - 29세","순이동[명]","명","162","211","375","161","-253","-89","-119","-84","20","-227","101",
"성동구","남자","30 - 34세","순이동[명]","명","-70","252","409","271","-305","-286","-353","-219","154","177","360",
"성동구","남자","35 - 39세","순이동[명]","명","-264","-75","137","-56","-745","-513","-523","-350","-224","-120","222",
"성동구","남자","40 - 44세","순이동[명]","명","-284","-264","-174","-194","-558","-595","-501","-416","-432","-388","-132",
"성동구","남자","45 - 49세","순이동[명]","명","-197","-101","-31","0","-560","-542","-383","-285","-297","-336","-223",
"성동구","남자","50 - 54세","순이동[명]","명","105","43","151","120","-286","-281","-233","-127","-175","-161","30",
"성동구","남자","55 - 59세","순이동[명]","명","-51","-53","67","-20","-364","-235","-278","-297","-169","-238","-84",
"성동구","남자","60 - 64세","순이동[명]","명","-71","-128","-49","-35","-360","-312","-341","-279","-280","-297","-231",
"성동구","남자","65 - 69세","순이동[명]","명","-88","-121","-53","-93","-236","-244","-167","-183","-229","-200","-184",
"성동구","남자","70 - 74세","순이동[명]","명","-88","-27","-48","-59","-166","-161","-79","-105","-87","-88","-116",
"성동구","남자","75 - 79세","순이동[명]","명","-51","-24","-48","-62","-94","-127","-64","-84","-71","-58","-67",
"성동구","남자","80세이상","순이동[명]","명","-15","-34","-24","-24","-77","-68","-73","-51","-64","-112","-69",
"성동구","남자","청년층(19-34세)","순이동[명]","명","767","1106","1740","1227","-79","29","-58","430","751","447","1111",
"성동구","여자","계","순이동[명]","명","-352","572","2819","1806","-3760","-3819","-2841","-1767","-1693","-1743","581",
"성동구","여자","0 - 4세","순이동[명]","명","-145","-129","-56","-149","-416","-396","-270","-229","-282","-199","-111",
"성동구","여자","5 - 9세","순이동[명]","명","-149","-158","-165","-108","-344","-417","-274","-198","-255","-237","-115",
"성동구","여자","10 - 14세","순이동[명]","명","-125","-36","-9","-169","-186","-246","-151","-139","-159","-150","-112",
"성동구","여자","15 - 19세","순이동[명]","명","237","274","405","357","262","253","191","358","328","346","441",
"성동구","여자","20 - 24세","순이동[명]","명","526","456","914","1040","446","390","442","680","551","379","536",
"성동구","여자","25 - 29세","순이동[명]","명","163","253","737","682","-50","-12","-4","-1","141","-126","384",
"성동구","여자","30 - 34세","순이동[명]","명","-37","193","426","405","-305","-380","-447","-200","139","162","402",
"성동구","여자","35 - 39세","순이동[명]","명","-293","-13","119","-163","-675","-619","-570","-376","-374","-158","63",
"성동구","여자","40 - 44세","순이동[명]","명","-273","-137","-11","-101","-513","-611","-419","-373","-442","-418","-211",
"성동구","여자","45 - 49세","순이동[명]","명","63","111","260","99","-264","-324","-168","-214","-202","-111","2",
"성동구","여자","50 - 54세","순이동[명]","명","48","46","181","200","-354","-259","-202","-179","-139","-108","26",
"성동구","여자","55 - 59세","순이동[명]","명","-133","-15","65","1","-347","-312","-248","-239","-235","-294","-75",
"성동구","여자","60 - 64세","순이동[명]","명","-61","-108","4","-55","-337","-303","-202","-190","-285","-259","-213",
"성동구","여자","65 - 69세","순이동[명]","명","-65","-3","8","-28","-204","-225","-218","-158","-217","-205","-178",
"성동구","여자","70 - 74세","순이동[명]","명","-32","-82","-14","-95","-171","-130","-116","-121","-107","-135","-86",
"성동구","여자","75 - 79세","순이동[명]","명","-36","-39","-24","-72","-133","-94","-75","-87","-53","-90","-67",
"성동구","여자","80세이상","순이동[명]","명","-40","-41","-21","-38","-169","-134","-110","-101","-102","-140","-105",
"성동구","여자","청년층(19-34세)","순이동[명]","명","752","1045","2235","2287","209","193","98","661","1037","598","1547",
"광진구","남자","계","순이동[명]","명","-2743","-2903","-840","-1946","-2811","-2903","-2558","-711","-962","-1783","-440",
"광진구","남자","0 - 4세","순이동[명]","명","-382","-392","-351","-404","-513","-456","-334","-173","-214","-219","-64",
"광진구","남자","5 - 9세","순이동[명]","명","-69","-101","-31","-36","-164","-182","-189","-11","-56","-46","81",
"광진구","남자","10 - 14세","순이동[명]","명","-20","-51","-6","-37","-83","-69","-122","-43","-5","-45","43",
"광진구","남자","15 - 19세","순이동[명]","명","-14","-116","74","-1","9","-30","15","65","142","43","153",
"광진구","남자","20 - 24세","순이동[명]","명","476","683","719","656","770","876","760","1190","937","806","889",
"광진구","남자","25 - 29세","순이동[명]","명","103","202","484","566","477","468","445","334","352","282","142",
"광진구","남자","30 - 34세","순이동[명]","명","-602","-748","-262","-573","-649","-648","-596","-420","-517","-672","-370",
"광진구","남자","35 - 39세","순이동[명]","명","-582","-499","-371","-691","-857","-842","-683","-476","-501","-553","-234",
"광진구","남자","40 - 44세","순이동[명]","명","-351","-294","-155","-297","-396","-488","-383","-272","-233","-227","-115",
"광진구","남자","45 - 49세","순이동[명]","명","-243","-348","-240","-177","-301","-326","-298","-179","-104","-222","-72",
"광진구","남자","50 - 54세","순이동[명]","명","-225","-273","-111","-223","-244","-286","-214","-135","-92","-178","-171",
"광진구","남자","55 - 59세","순이동[명]","명","-275","-310","-190","-172","-272","-308","-223","-143","-155","-232","-197",
"광진구","남자","60 - 64세","순이동[명]","명","-232","-253","-130","-185","-298","-261","-235","-149","-175","-200","-218",
"광진구","남자","65 - 69세","순이동[명]","명","-141","-198","-132","-159","-136","-142","-213","-126","-176","-157","-144",
"광진구","남자","70 - 74세","순이동[명]","명","-91","-112","-83","-124","-87","-105","-146","-80","-81","-87","-94",
"광진구","남자","75 - 79세","순이동[명]","명","-59","-78","-48","-43","-34","-64","-93","-63","-41","-46","-26",
"광진구","남자","80세이상","순이동[명]","명","-36","-15","-7","-46","-33","-40","-49","-30","-43","-30","-43",
"광진구","남자","청년층(19-34세)","순이동[명]","명","-27","158","1002","666","642","740","651","1178","877","498","737",
"광진구","여자","계","순이동[명]","명","-2306","-2181","203","-1100","-2086","-1874","-2670","-499","-586","-1475","-152",
"광진구","여자","0 - 4세","순이동[명]","명","-407","-371","-264","-346","-495","-410","-348","-163","-114","-192","-61",
"광진구","여자","5 - 9세","순이동[명]","명","-157","-92","-84","-69","-93","-186","-193","-31","-34","-50","46",
"광진구","여자","10 - 14세","순이동[명]","명","-48","-85","1","-45","-73","-48","-60","-34","7","-46","39",
"광진구","여자","15 - 19세","순이동[명]","명","165","115","254","275","201","225","130","354","344","263","321",
"광진구","여자","20 - 24세","순이동[명]","명","826","992","1338","1232","1504","1695","1335","1399","1177","1258","1174",
"광진구","여자","25 - 29세","순이동[명]","명","20","250","523","514","257","452","-70","243","165","41","328",
"광진구","여자","30 - 34세","순이동[명]","명","-714","-854","-470","-715","-807","-868","-891","-698","-669","-868","-437",
"광진구","여자","35 - 39세","순이동[명]","명","-510","-431","-296","-508","-789","-691","-661","-376","-429","-524","-198",
"광진구","여자","40 - 44세","순이동[명]","명","-88","-283","-151","-209","-281","-401","-337","-224","-226","-194","-104",
"광진구","여자","45 - 49세","순이동[명]","명","-167","-319","-65","-206","-304","-319","-267","-123","-66","-156","-98",
"광진구","여자","50 - 54세","순이동[명]","명","-305","-220","-64","-198","-293","-277","-305","-90","-87","-190","-145",
"광진구","여자","55 - 59세","순이동[명]","명","-297","-310","-174","-247","-353","-299","-239","-129","-184","-244","-273",
"광진구","여자","60 - 64세","순이동[명]","명","-278","-273","-116","-181","-251","-243","-321","-269","-152","-213","-235",
"광진구","여자","65 - 69세","순이동[명]","명","-130","-156","-112","-131","-141","-223","-213","-134","-147","-171","-211",
"광진구","여자","70 - 74세","순이동[명]","명","-125","-33","-70","-121","-79","-139","-94","-95","-44","-57","-80",
"광진구","여자","75 - 79세","순이동[명]","명","-88","-35","-20","-68","-67","-67","-78","-62","-58","-30","-71",
"광진구","여자","80세이상","순이동[명]","명","-3","-76","-27","-77","-22","-75","-58","-67","-69","-102","-147",
"광진구","여자","청년층(19-34세)","순이동[명]","명","272","531","1553","1188","1101","1488","534","1178","920","670","1315",
"동대문구","남자","계","순이동[명]","명","-2599","-3105","-2338","-1649","-1334","-2077","-1430","308","2247","-1220","3622",
"동대문구","남자","0 - 4세","순이동[명]","명","-314","-259","-291","-28","-119","-208","-186","-85","55","-96","364",
"동대문구","남자","5 - 9세","순이동[명]","명","-256","-243","-235","-153","-162","-221","-129","-35","61","-189","18",
"동대문구","남자","10 - 14세","순이동[명]","명","-189","-213","-118","-149","-161","-160","-104","-7","-38","-105","0",
"동대문구","남자","15 - 19세","순이동[명]","명","170","172","195","192","275","187","202","369","464","402","607",
"동대문구","남자","20 - 24세","순이동[명]","명","749","814","882","827","925","1023","1082","1446","1378","1096","1276",
"동대문구","남자","25 - 29세","순이동[명]","명","-252","-331","-351","-451","-111","-62","-270","-307","-34","-521","-223",
"동대문구","남자","30 - 34세","순이동[명]","명","-658","-702","-570","-288","-187","-231","-351","-237","108","-285","557",
"동대문구","남자","35 - 39세","순이동[명]","명","-440","-562","-420","-98","-284","-422","-328","-151","-24","-217","624",
"동대문구","남자","40 - 44세","순이동[명]","명","-427","-449","-475","-228","-314","-450","-339","-163","61","-241","278",
"동대문구","남자","45 - 49세","순이동[명]","명","-180","-253","-202","-324","-273","-339","-187","-14","73","-243","42",
"동대문구","남자","50 - 54세","순이동[명]","명","-200","-190","-64","-65","-200","-194","-146","-110","230","-117","199",
"동대문구","남자","55 - 59세","순이동[명]","명","-153","-206","-170","-190","-143","-299","-147","-39","104","-179","95",
"동대문구","남자","60 - 64세","순이동[명]","명","-133","-269","-179","-201","-219","-196","-163","-72","17","-157","28",
